estacion_code,dias_desde_ultima_fecha,ultima_fecha_reportada,fecha,hora
sp_101,-1.0,2026-02-02 05:41:00,2026-02-02,05:41:00
sp_102,-1.0,2026-02-02 05:41:00,2026-02-02,05:41:00
sp_103,0.0,2026-02-01 11:41:00,2026-02-01,11:41:00
sp_104,-1.0,2026-02-02 05:41:00,2026-02-02,05:41:00
sp_108,-1.0,2026-02-02 05:41:00,2026-02-02,05:41:00
sp_109,-1.0,2026-02-02 05:41:00,2026-02-02,05:41:00
sp_131,-1.0,2026-02-02 05:41:00,2026-02-02,05:41:00
sp_132,-1.0,2026-02-02 05:41:00,2026-02-02,05:41:00
sp_133,-1.0,2026-02-02 05:41:00,2026-02-02,05:41:00
sp_134,-1.0,2026-02-02 05:41:00,2026-02-02,05:41:00
sp_135,-1.0,2026-02-02 05:41:00,2026-02-02,05:41:00
sp_136,-1.0,2026-02-02 05:41:00,2026-02-02,05:41:00
sp_137,-1.0,2026-02-02 05:45:00,2026-02-02,05:45:00
sp_138,3.0,2026-01-29 07:31:00,2026-01-29,07:31:00
sp_139,-1.0,2026-02-02 04:51:00,2026-02-02,04:51:00
sp_140,-1.0,2026-02-02 05:41:00,2026-02-02,05:41:00
sp_141,-1.0,2026-02-02 05:41:00,2026-02-02,05:41:00
sp_142,-1.0,2026-02-02 05:41:00,2026-02-02,05:41:00
sp_143,-1.0,2026-02-02 05:41:00,2026-02-02,05:41:00
sp_144,-1.0,2026-02-02 05:41:00,2026-02-02,05:41:00
sp_145,-1.0,2026-02-02 05:41:00,2026-02-02,05:41:00
sp_146,-1.0,2026-02-02 05:41:00,2026-02-02,05:41:00
sp_149,-1.0,2026-02-02 05:41:00,2026-02-02,05:41:00
sp_150,0.0,2026-02-01 17:06:00,2026-02-01,17:06:00
sp_151,-1.0,2026-02-02 05:42:00,2026-02-02,05:42:00
sp_154,0.0,2026-02-01 17:51:00,2026-02-01,17:51:00
sp_155,-1.0,2026-02-02 05:43:00,2026-02-02,05:43:00
sp_156,-1.0,2026-02-02 05:41:00,2026-02-02,05:41:00
sn_1001,0.0,2026-02-01 19:26:00,2026-02-01,19:26:00
sn_1002,-1.0,2026-02-02 05:45:00,2026-02-02,05:45:00
sn_1003,-1.0,2026-02-02 05:45:00,2026-02-02,05:45:00
sn_1004,-1.0,2026-02-02 05:45:00,2026-02-02,05:45:00
sn_1007,-1.0,2026-02-02 05:45:00,2026-02-02,05:45:00
sn_1008,-1.0,2026-02-02 05:45:00,2026-02-02,05:45:00
sn_1009,-1.0,2026-02-02 00:56:00,2026-02-02,00:56:00
sn_1010,-1.0,2026-02-02 05:45:00,2026-02-02,05:45:00
sn_1011,3.0,2026-01-29 11:19:00,2026-01-29,11:19:00
sn_1012,-1.0,2026-02-02 05:46:00,2026-02-02,05:46:00
sn_1013,2.0,2026-01-30 04:18:00,2026-01-30,04:18:00
sn_1014,3.0,2026-01-29 05:02:00,2026-01-29,05:02:00
sn_1016,-1.0,2026-02-02 05:46:00,2026-02-02,05:46:00
sn_1018,-1.0,2026-02-02 05:46:00,2026-02-02,05:46:00
sn_1019,-1.0,2026-02-02 05:46:00,2026-02-02,05:46:00
sn_1021,-1.0,2026-02-02 05:34:00,2026-02-02,05:34:00
sn_1022,0.0,2026-02-01 17:51:00,2026-02-01,17:51:00
sn_1023,-1.0,2026-02-02 05:46:00,2026-02-02,05:46:00
sn_1030,-1.0,2026-02-02 05:46:00,2026-02-02,05:46:00
sn_1033,-1.0,2026-02-02 05:46:00,2026-02-02,05:46:00
sn_1034,-1.0,2026-02-02 05:47:00,2026-02-02,05:47:00
sn_1035,-1.0,2026-02-02 05:46:00,2026-02-02,05:46:00
sn_1036,-1.0,2026-02-02 05:47:00,2026-02-02,05:47:00
sn_1037,-1.0,2026-02-02 04:52:00,2026-02-02,04:52:00
sn_1038,-1.0,2026-02-02 05:47:00,2026-02-02,05:47:00
sn_1039,-1.0,2026-02-02 05:47:00,2026-02-02,05:47:00
sn_1040,-1.0,2026-02-02 05:47:00,2026-02-02,05:47:00
sn_1041,-1.0,2026-02-02 05:47:00,2026-02-02,05:47:00
sm_501,-1.0,2026-02-02 05:46:00,2026-02-02,05:46:00
sm_502,-1.0,2026-02-02 05:46:00,2026-02-02,05:46:00
sm_504,-1.0,2026-02-02 05:46:00,2026-02-02,05:46:00
sm_505,0.0,2026-02-01 15:46:00,2026-02-01,15:46:00
sm_506,0.0,2026-02-01 17:41:00,2026-02-01,17:41:00
sm_508,1.0,2026-01-31 14:21:00,2026-01-31,14:21:00
sm_509,0.0,2026-02-01 21:06:00,2026-02-01,21:06:00
sm_510,-1.0,2026-02-02 05:46:00,2026-02-02,05:46:00
sm_511,0.0,2026-02-01 18:26:00,2026-02-01,18:26:00
sm_512,-1.0,2026-02-02 05:46:00,2026-02-02,05:46:00
sm_513,-1.0,2026-02-02 05:46:00,2026-02-02,05:46:00
sm_514,-1.0,2026-02-02 05:44:00,2026-02-02,05:44:00
sm_515,-1.0,2026-02-02 05:01:00,2026-02-02,05:01:00
sm_516,-1.0,2026-02-02 05:46:00,2026-02-02,05:46:00
