estacion_code,dias_desde_ultima_fecha,ultima_fecha_reportada,fecha,hora
sp_101,-1.0,2026-06-23 05:41:00,2026-06-23,05:41:00
sp_102,-1.0,2026-06-23 05:41:00,2026-06-23,05:41:00
sp_103,-1.0,2026-06-23 05:41:00,2026-06-23,05:41:00
sp_104,-1.0,2026-06-23 05:43:00,2026-06-23,05:43:00
sp_106,3.0,2026-06-19 03:36:00,2026-06-19,03:36:00
sp_108,-1.0,2026-06-23 05:42:00,2026-06-23,05:42:00
sp_109,-1.0,2026-06-23 05:41:00,2026-06-23,05:41:00
sp_131,-1.0,2026-06-23 04:51:00,2026-06-23,04:51:00
sp_132,-1.0,2026-06-23 02:11:00,2026-06-23,02:11:00
sp_133,-1.0,2026-06-23 05:41:00,2026-06-23,05:41:00
sp_134,0.0,2026-06-22 21:06:00,2026-06-22,21:06:00
sp_135,-1.0,2026-06-23 03:06:00,2026-06-23,03:06:00
sp_136,0.0,2026-06-22 21:01:00,2026-06-22,21:01:00
sp_137,-1.0,2026-06-23 05:43:00,2026-06-23,05:43:00
sp_138,-1.0,2026-06-23 02:11:00,2026-06-23,02:11:00
sp_139,-1.0,2026-06-23 05:41:00,2026-06-23,05:41:00
sp_140,0.0,2026-06-22 20:56:00,2026-06-22,20:56:00
sp_141,-1.0,2026-06-23 05:41:00,2026-06-23,05:41:00
sp_142,-1.0,2026-06-23 05:41:00,2026-06-23,05:41:00
sp_143,-1.0,2026-06-23 05:41:00,2026-06-23,05:41:00
sp_144,-1.0,2026-06-23 05:43:00,2026-06-23,05:43:00
sp_145,0.0,2026-06-22 21:01:00,2026-06-22,21:01:00
sp_146,-1.0,2026-06-23 05:46:00,2026-06-23,05:46:00
sp_150,-1.0,2026-06-23 05:46:00,2026-06-23,05:46:00
sp_151,-1.0,2026-06-23 05:43:00,2026-06-23,05:43:00
sp_155,-1.0,2026-06-23 05:43:00,2026-06-23,05:43:00
sp_156,-1.0,2026-06-23 05:41:00,2026-06-23,05:41:00
sp_157,-1.0,2026-06-23 05:40:00,2026-06-23,05:40:00
sp_158,0.0,2026-06-22 16:02:00,2026-06-22,16:02:00
sp_159,-1.0,2026-06-23 04:58:00,2026-06-23,04:58:00
sp_160,-1.0,2026-06-23 05:42:00,2026-06-23,05:42:00
sp_162,-1.0,2026-06-23 05:44:00,2026-06-23,05:44:00
sp_163,-1.0,2026-06-23 05:43:00,2026-06-23,05:43:00
sp_164,-1.0,2026-06-23 05:42:00,2026-06-23,05:42:00
sp_165,-1.0,2026-06-23 05:41:00,2026-06-23,05:41:00
sp_166,-1.0,2026-06-23 05:43:00,2026-06-23,05:43:00
sp_167,-1.0,2026-06-23 05:45:00,2026-06-23,05:45:00
sp_168,-1.0,2026-06-23 05:45:00,2026-06-23,05:45:00
sp_169,-1.0,2026-06-23 05:45:00,2026-06-23,05:45:00
sp_170,-1.0,2026-06-23 05:43:00,2026-06-23,05:43:00
sp_171,-1.0,2026-06-23 05:45:00,2026-06-23,05:45:00
sp_172,-1.0,2026-06-23 05:42:00,2026-06-23,05:42:00
sp_173,-1.0,2026-06-23 05:44:00,2026-06-23,05:44:00
sp_174,-1.0,2026-06-23 05:41:00,2026-06-23,05:41:00
sp_175,-1.0,2026-06-23 05:43:00,2026-06-23,05:43:00
sp_176,-1.0,2026-06-23 05:45:00,2026-06-23,05:45:00
sn_1001,-1.0,2026-06-23 05:46:00,2026-06-23,05:46:00
sn_1002,-1.0,2026-06-23 05:45:00,2026-06-23,05:45:00
sn_1003,-1.0,2026-06-23 05:45:00,2026-06-23,05:45:00
sn_1004,0.0,2026-06-22 02:01:00,2026-06-22,02:01:00
sn_1005,-1.0,2026-06-23 05:46:00,2026-06-23,05:46:00
sn_1007,-1.0,2026-06-23 05:46:00,2026-06-23,05:46:00
sn_1008,-1.0,2026-06-23 05:46:00,2026-06-23,05:46:00
sn_1009,-1.0,2026-06-23 05:47:00,2026-06-23,05:47:00
sn_1010,-1.0,2026-06-23 05:47:00,2026-06-23,05:47:00
sn_1011,-1.0,2026-06-23 05:47:00,2026-06-23,05:47:00
sn_1012,-1.0,2026-06-23 05:47:00,2026-06-23,05:47:00
sn_1013,-1.0,2026-06-23 05:47:00,2026-06-23,05:47:00
sn_1014,-1.0,2026-06-23 05:47:00,2026-06-23,05:47:00
sn_1015,-1.0,2026-06-23 05:47:00,2026-06-23,05:47:00
sn_1016,0.0,2026-06-22 21:02:00,2026-06-22,21:02:00
sn_1018,-1.0,2026-06-23 05:47:00,2026-06-23,05:47:00
sn_1019,0.0,2026-06-22 21:03:00,2026-06-22,21:03:00
sn_1021,-1.0,2026-06-23 05:47:00,2026-06-23,05:47:00
sn_1023,-1.0,2026-06-23 05:48:00,2026-06-23,05:48:00
sn_1030,-1.0,2026-06-23 05:47:00,2026-06-23,05:47:00
sn_1031,-1.0,2026-06-23 05:47:00,2026-06-23,05:47:00
sn_1033,0.0,2026-06-22 21:08:00,2026-06-22,21:08:00
sn_1034,0.0,2026-06-22 21:03:00,2026-06-22,21:03:00
sn_1035,-1.0,2026-06-23 02:47:00,2026-06-23,02:47:00
sn_1036,-1.0,2026-06-23 03:17:00,2026-06-23,03:17:00
sn_1037,-1.0,2026-06-23 05:48:00,2026-06-23,05:48:00
sn_1038,-1.0,2026-06-23 05:48:00,2026-06-23,05:48:00
sn_1039,-1.0,2026-06-23 05:48:00,2026-06-23,05:48:00
sn_1040,-1.0,2026-06-23 05:48:00,2026-06-23,05:48:00
sn_1041,-1.0,2026-06-23 05:48:00,2026-06-23,05:48:00
sn_1042,-1.0,2026-06-23 05:49:00,2026-06-23,05:49:00
sn_1043,0.0,2026-06-22 16:00:00,2026-06-22,16:00:00
sn_1044,-1.0,2026-06-23 05:49:00,2026-06-23,05:49:00
sn_1045,-1.0,2026-06-23 05:49:00,2026-06-23,05:49:00
sn_1046,-1.0,2026-06-23 05:49:00,2026-06-23,05:49:00
sn_1047,-1.0,2026-06-23 05:49:00,2026-06-23,05:49:00
sn_1048,-1.0,2026-06-23 05:49:00,2026-06-23,05:49:00
sn_1049,-1.0,2026-06-23 05:49:00,2026-06-23,05:49:00
sn_1050,0.0,2026-06-22 21:03:00,2026-06-22,21:03:00
sn_1051,0.0,2026-06-22 21:09:00,2026-06-22,21:09:00
sn_1052,-1.0,2026-06-23 05:49:00,2026-06-23,05:49:00
sn_1053,-1.0,2026-06-23 05:49:00,2026-06-23,05:49:00
sn_1054,-1.0,2026-06-23 05:49:00,2026-06-23,05:49:00
sn_1055,-1.0,2026-06-23 05:49:00,2026-06-23,05:49:00
sn_1056,-1.0,2026-06-23 05:49:00,2026-06-23,05:49:00
sn_1057,-1.0,2026-06-23 05:49:00,2026-06-23,05:49:00
sn_1058,-1.0,2026-06-23 05:49:00,2026-06-23,05:49:00
sn_1059,-1.0,2026-06-23 05:49:00,2026-06-23,05:49:00
sm_501,-1.0,2026-06-23 05:49:00,2026-06-23,05:49:00
sm_502,-1.0,2026-06-23 05:46:00,2026-06-23,05:46:00
sm_503,-1.0,2026-06-23 05:45:00,2026-06-23,05:45:00
sm_504,-1.0,2026-06-23 02:21:00,2026-06-23,02:21:00
sm_505,0.0,2026-06-22 23:56:00,2026-06-22,23:56:00
sm_506,-1.0,2026-06-23 05:46:00,2026-06-23,05:46:00
sm_507,-1.0,2026-06-23 05:48:00,2026-06-23,05:48:00
sm_509,-1.0,2026-06-23 02:18:00,2026-06-23,02:18:00
sm_511,-1.0,2026-06-23 02:52:00,2026-06-23,02:52:00
sm_512,-1.0,2026-06-23 05:46:00,2026-06-23,05:46:00
sm_513,-1.0,2026-06-23 05:46:00,2026-06-23,05:46:00
sm_515,-1.0,2026-06-23 05:46:00,2026-06-23,05:46:00
sm_516,-1.0,2026-06-23 05:48:00,2026-06-23,05:48:00
sm_517,-1.0,2026-06-23 05:45:00,2026-06-23,05:45:00
