estacion_code,dias_desde_ultima_fecha,ultima_fecha_reportada,fecha,hora
sp_101,-1.0,2025-10-16 05:41:00,2025-10-16,05:41:00
sp_102,-1.0,2025-10-16 05:41:00,2025-10-16,05:41:00
sp_103,-1.0,2025-10-16 05:41:00,2025-10-16,05:41:00
sp_104,0.0,2025-10-15 15:16:00,2025-10-15,15:16:00
sp_108,-1.0,2025-10-16 05:41:00,2025-10-16,05:41:00
sp_109,-1.0,2025-10-16 05:41:00,2025-10-16,05:41:00
sp_131,-1.0,2025-10-16 05:41:00,2025-10-16,05:41:00
sp_132,-1.0,2025-10-16 05:41:00,2025-10-16,05:41:00
sp_133,-1.0,2025-10-16 05:41:00,2025-10-16,05:41:00
sp_134,-1.0,2025-10-16 05:41:00,2025-10-16,05:41:00
sp_135,0.0,2025-10-15 20:41:00,2025-10-15,20:41:00
sp_136,0.0,2025-10-15 20:41:00,2025-10-15,20:41:00
sp_137,0.0,2025-10-15 20:41:00,2025-10-15,20:41:00
sp_139,-1.0,2025-10-16 05:41:00,2025-10-16,05:41:00
sp_140,-1.0,2025-10-16 05:41:00,2025-10-16,05:41:00
sp_141,-1.0,2025-10-16 05:41:00,2025-10-16,05:41:00
sp_143,-1.0,2025-10-16 05:41:00,2025-10-16,05:41:00
sp_144,-1.0,2025-10-16 05:41:00,2025-10-16,05:41:00
sp_145,-1.0,2025-10-16 05:41:00,2025-10-16,05:41:00
sp_146,-1.0,2025-10-16 05:41:00,2025-10-16,05:41:00
sp_149,-1.0,2025-10-16 05:41:00,2025-10-16,05:41:00
sp_150,-1.0,2025-10-16 05:41:00,2025-10-16,05:41:00
sp_151,-1.0,2025-10-16 05:41:00,2025-10-16,05:41:00
sp_154,0.0,2025-10-15 17:01:00,2025-10-15,17:01:00
sp_155,0.0,2025-10-15 18:26:00,2025-10-15,18:26:00
sn_1001,-1.0,2025-10-16 05:45:00,2025-10-16,05:45:00
sn_1002,-1.0,2025-10-16 05:45:00,2025-10-16,05:45:00
sn_1003,-1.0,2025-10-16 05:45:00,2025-10-16,05:45:00
sn_1004,-1.0,2025-10-16 05:45:00,2025-10-16,05:45:00
sn_1007,-1.0,2025-10-16 05:45:00,2025-10-16,05:45:00
sn_1008,-1.0,2025-10-16 05:45:00,2025-10-16,05:45:00
sn_1009,-1.0,2025-10-16 05:45:00,2025-10-16,05:45:00
sn_1010,-1.0,2025-10-16 05:45:00,2025-10-16,05:45:00
sn_1012,-1.0,2025-10-16 05:45:00,2025-10-16,05:45:00
sn_1013,-1.0,2025-10-16 05:45:00,2025-10-16,05:45:00
sn_1014,-1.0,2025-10-16 05:45:00,2025-10-16,05:45:00
sn_1016,-1.0,2025-10-16 05:46:00,2025-10-16,05:46:00
sn_1018,3.0,2025-10-12 09:02:00,2025-10-12,09:02:00
sn_1019,-1.0,2025-10-16 05:45:00,2025-10-16,05:45:00
sn_1021,2.0,2025-10-13 01:15:00,2025-10-13,01:15:00
sn_1022,0.0,2025-10-15 17:02:00,2025-10-15,17:02:00
sn_1030,-1.0,2025-10-16 05:45:00,2025-10-16,05:45:00
sn_1031,-1.0,2025-10-16 05:46:00,2025-10-16,05:46:00
sn_1033,-1.0,2025-10-16 05:46:00,2025-10-16,05:46:00
sn_1034,-1.0,2025-10-16 05:46:00,2025-10-16,05:46:00
sn_1035,-1.0,2025-10-16 05:46:00,2025-10-16,05:46:00
sn_1036,0.0,2025-10-15 20:42:00,2025-10-15,20:42:00
sn_1037,-1.0,2025-10-16 05:46:00,2025-10-16,05:46:00
sn_1038,0.0,2025-10-15 14:37:00,2025-10-15,14:37:00
sn_1039,-1.0,2025-10-16 05:46:00,2025-10-16,05:46:00
sn_1040,-1.0,2025-10-16 05:45:00,2025-10-16,05:45:00
sn_1041,-1.0,2025-10-16 05:46:00,2025-10-16,05:46:00
sm_502,-1.0,2025-10-16 05:46:00,2025-10-16,05:46:00
sm_503,-1.0,2025-10-16 05:46:00,2025-10-16,05:46:00
sm_504,-1.0,2025-10-16 05:46:00,2025-10-16,05:46:00
sm_505,-1.0,2025-10-16 05:46:00,2025-10-16,05:46:00
sm_506,-1.0,2025-10-16 05:46:00,2025-10-16,05:46:00
sm_507,3.0,2025-10-12 08:56:00,2025-10-12,08:56:00
sm_508,-1.0,2025-10-16 05:46:00,2025-10-16,05:46:00
sm_509,-1.0,2025-10-16 05:46:00,2025-10-16,05:46:00
sm_511,0.0,2025-10-15 21:46:00,2025-10-15,21:46:00
sm_512,-1.0,2025-10-16 05:46:00,2025-10-16,05:46:00
sm_513,-1.0,2025-10-16 05:46:00,2025-10-16,05:46:00
sm_514,-1.0,2025-10-16 05:45:00,2025-10-16,05:45:00
sm_515,-1.0,2025-10-16 05:46:00,2025-10-16,05:46:00
sm_516,-1.0,2025-10-16 05:41:00,2025-10-16,05:41:00
