estacion_code;Estado_ultima_semana;calidad_ultima_reportada;dias_desde_ultima_cal1;dias_desde_ultima_actividad;fecha_ultima_actividad;hora_ultima_actividad;municipio;region
sn_1049;ACTIVA;cal2;0.0;7.0;11/12/2025;18:54:00;40;5
sp_168;ACTIVA;cal1;;0.0;19/12/2025;10:09:00;17;8
sp_167;ACTIVA;cal1;;0.0;19/12/2025;10:09:00;78;8
sp_166;ACTIVA;cal1;;0.0;19/12/2025;10:07:00;78;8
sp_165;ACTIVA;cal1;;0.0;19/12/2025;10:07:00;62;5
sp_164;ACTIVA;cal1;;0.0;19/12/2025;10:02:00;40;5
sp_163;ACTIVA;cal1;;0.0;19/12/2025;10:05:00;35;2
sp_162;ACTIVA;cal1;;0.0;19/12/2025;10:09:00;74;8
sp_161;ACTIVA;cal1;;0.0;19/12/2025;10:07:00;68;5
sp_160;ACTIVA;cal1;;0.0;19/12/2025;10:05:00;24;3
sp_159;ACTIVA;cal1;;0.0;19/12/2025;10:05:00;81;8
sp_157;ACTIVA;cal1;;0.0;19/12/2025;10:07:00;33;1
sp_156;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;37;7
sp_155;ACTIVA;cal1;;0.0;19/12/2025;10:08:00;84;7
sp_154;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;108;4
sp_150;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;118;2
sp_149;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;96;4
sp_146;ACTIVA;cal1;;0.0;19/12/2025;9:06:00;8;7
sp_145;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;96;3
sp_144;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;72;8
sp_143;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;105;8
sp_142;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;105;8
sp_141;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;105;8
sp_140;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;102;4
sp_139;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;9;9
sp_137;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;;
sp_136;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;93;7
sp_135;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;93;7
sp_134;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;104;4
sp_133;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;104;4
sp_132;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;125;9
sp_131;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;71;8
sp_109;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;58;9
sp_108;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;113;2
sp_104;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;49;5
sp_103;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;85;8
sp_102;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;117;2
sp_101;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;89;8
sn_1051;ACTIVA;cal1;;0.0;19/12/2025;10:10:00;102;5
sn_1050;ACTIVA;cal1;;0.0;19/12/2025;10:10:00;62;5
sn_1048;ACTIVA;cal1;;0.0;19/12/2025;10:10:00;35;8
sn_1047;ACTIVA;cal1;;0.0;19/12/2025;10:10:00;74;8
sn_1046;ACTIVA;cal1;;0.0;19/12/2025;10:10:00;68;5
sn_1045;ACTIVA;cal1;;0.0;19/12/2025;10:10:00;24;3
sn_1044;ACTIVA;cal1;;0.0;19/12/2025;10:10:00;81;8
sn_1043;ACTIVA;cal1;;0.0;18/12/2025;15:28:00;;
sn_1041;ACTIVA;cal1;;0.0;19/12/2025;10:10:00;37;5
sn_1040;ACTIVA;cal1;;0.0;19/12/2025;10:09:00;84;7
sn_1039;ACTIVA;cal1;;0.0;19/12/2025;7:40:00;105;8
sn_1038;ACTIVA;cal1;;0.0;19/12/2025;10:09:00;105;8
sn_1037;ACTIVA;cal1;;0.0;19/12/2025;10:10:00;9;9
sn_1036;ACTIVA;cal1;;0.0;19/12/2025;10:10:00;93;7
sn_1035;ACTIVA;cal1;;0.0;19/12/2025;10:10:00;93;7
sn_1034;ACTIVA;cal1;;0.0;19/12/2025;10:10:00;104;4
sn_1033;ACTIVA;cal1;;0.0;19/12/2025;10:09:00;104;4
sn_1031;ACTIVA;cal1;;0.0;19/12/2025;10:08:00;71;8
sn_1030;ACTIVA;cal1;;0.0;19/12/2025;9:34:00;71;8
sn_1023;ACTIVA;cal1;;0.0;19/12/2025;10:10:00;83;3
sn_1022;ACTIVA;cal1;;0.0;19/12/2025;10:08:00;108;4
sn_1021;ACTIVA;cal1;;0.0;19/12/2025;10:09:00;118;2
sn_1019;ACTIVA;cal1;;0.0;19/12/2025;10:09:00;96;4
sn_1018;ACTIVA;cal1;;0.0;19/12/2025;10:09:00;103;5
sn_1016;ACTIVA;cal1;;0.0;19/12/2025;10:09:00;8;7
sn_1014;ACTIVA;cal1;;0.0;19/12/2025;9:44:00;58;9
sn_1013;ACTIVA;cal1;;0.0;19/12/2025;5:22:00;58;9
sn_1012;ACTIVA;cal1;;0.0;19/12/2025;10:09:00;115;9
sn_1010;ACTIVA;cal1;;0.0;19/12/2025;10:08:00;116;9
sn_1008;ACTIVA;cal1;;0.0;19/12/2025;10:09:00;122;9
sn_1007;ACTIVA;cal1;;0.0;19/12/2025;10:09:00;113;2
sn_1004;ACTIVA;cal1;;0.0;19/12/2025;10:09:00;100;5
sn_1003;ACTIVA;cal1;;0.0;19/12/2025;10:08:00;49;5
sn_1002;ACTIVA;cal1;;0.0;19/12/2025;10:08:00;85;8
sm_516;ACTIVA;cal1;;0.0;19/12/2025;10:11:00;14;8
sm_515;ACTIVA;cal1;;0.0;19/12/2025;10:11:00;80;8
sm_514;ACTIVA;cal1;;0.0;19/12/2025;10:09:00;16;8
sm_513;ACTIVA;cal1;;0.0;19/12/2025;10:11:00;77;8
sm_512;ACTIVA;cal1;;0.0;19/12/2025;10:11:00;64;9
sm_511;ACTIVA;cal1;;0.0;19/12/2025;10:11:00;64;9
sm_510;ACTIVA;cal1;;0.0;18/12/2025;19:21:00;58;9
sm_509;ACTIVA;cal1;;0.0;19/12/2025;9:41:00;58;9
sm_508;ACTIVA;cal1;;0.0;19/12/2025;10:11:00;115;9
sm_506;ACTIVA;cal1;;0.0;19/12/2025;10:11:00;116;9
sm_505;ACTIVA;cal1;;0.0;19/12/2025;10:11:00;116;9
sm_504;ACTIVA;cal1;;0.0;19/12/2025;10:06:00;119;9
sm_502;ACTIVA;cal1;;0.0;19/12/2025;10:11:00;122;9
sm_501;ACTIVA;cal1;;0.0;19/12/2025;10:11:00;122;9
sn_1042;ACTIVA;cal1;;1.0;17/12/2025;14:41:00;83;3
sm_503;ACTIVA;cal1;;3.0;16/12/2025;9:46:00;119;9
sp_151;ACTIVA;cal1;;7.0;11/12/2025;17:11:00;83;3
sp_138;INACTIVA;cal1;;11.0;7/12/2025;22:36:00;124;9
sn_1001;INACTIVA;cal1;;12.0;7/12/2025;1:23:00;117;2
sn_1009;INACTIVA;cal1;;15.0;3/12/2025;16:11:00;119;9
sp_158;INACTIVA;cal1;;23.0;25/11/2025;16:09:00;;
sm_507;INACTIVA;cal1;;29.0;19/11/2025;15:16:00;115;9
sn_1005;INACTIVA;cal2;5.0;30.0;18/11/2025;11:26:00;18;7
sp_106;INACTIVA;cal1;;37.0;11/11/2025;11:04:00;18;7
sn_1011;INACTIVA;cal1;;51.0;28/10/2025;11:01:00;115;9
sp_147;INACTIVA;cal1;;56.0;23/10/2025;22:11:00;50;9
sm_517;INACTIVA;cal1;;298.0;24/02/2025;8:26:00;29;6
sn_1032;INACTIVA;;;452.0;22/09/2024;19:58:00;125;9
sn_1015;INACTIVA;;;645.0;14/03/2024;6:30:00;64;9
sp_152;INACTIVA;;;1046.0;6/02/2023;10:17:00;;
