estacion_code;Estado_ultima_semana;calidad_ultima_reportada;dias_desde_ultima_cal1;dias_desde_ultima_actividad;fecha_ultima_actividad;hora_ultima_actividad;
sm_501;ACTIVA;cal2;0;;01/05/2026;11:06;
sm_502;ACTIVA;cal2;0;;01/05/2026;11:06;
sm_504;ACTIVA;cal2;0;;01/05/2026;11:06;
sm_505;ACTIVA;cal2;0;;01/05/2026;11:06;
sm_506;ACTIVA;cal2;0;;01/05/2026;11:06;
sm_508;ACTIVA;cal2;0;;01/05/2026;11:06;
sm_509;ACTIVA;cal2;0;;01/05/2026;10:41;
sm_511;ACTIVA;cal2;0;;01/05/2026;11:06;
sm_512;ACTIVA;cal2;0;;01/05/2026;11:06;
sm_513;ACTIVA;cal2;0;;01/05/2026;11:06;
sm_514;ACTIVA;cal2;0;;01/05/2026;11:04;
sm_516;ACTIVA;cal2;0;;01/05/2026;11:06;
sp_101;ACTIVA;cal1;;;01/05/2026;11:01;
sp_102;ACTIVA;cal1;;;01/05/2026;11:01;
sp_103;ACTIVA;cal1;;;01/05/2026;11:01;
sp_108;ACTIVA;cal1;;;01/05/2026;11:01;
sp_109;ACTIVA;cal1;;;01/05/2026;11:01;
sp_131;ACTIVA;cal1;;;01/05/2026;11:01;
sp_132;ACTIVA;cal1;;;01/05/2026;9:36;
sp_133;ACTIVA;cal1;;;01/05/2026;11:01;
sp_134;ACTIVA;cal1;;;01/05/2026;11:01;
sp_135;ACTIVA;cal1;;;01/05/2026;11:01;
sp_136;ACTIVA;cal1;;;01/05/2026;11:01;
sp_137;ACTIVA;cal1;;;01/05/2026;11:01;
sp_139;ACTIVA;cal1;;;01/05/2026;11:01;
sp_140;ACTIVA;cal1;;;01/05/2026;11:01;
sp_141;ACTIVA;cal1;;;01/05/2026;11:01;
sp_142;ACTIVA;cal1;;;01/02/2026;15:46;
sp_143;ACTIVA;cal1;;;01/05/2026;11:01;
sp_144;ACTIVA;cal1;;;01/05/2026;11:01;
sp_145;ACTIVA;cal1;;;01/05/2026;11:01;
sp_146;ACTIVA;cal1;;;01/05/2026;10:36;
sp_149;ACTIVA;cal1;;;01/05/2026;11:01;
sp_150;ACTIVA;cal1;;;01/05/2026;11:01;
sp_151;ACTIVA;cal1;;;01/05/2026;11:02;
sp_154;ACTIVA;cal1;;;01/05/2026;11:01;
sp_155;ACTIVA;cal1;;;01/05/2026;11:03;
sp_156;ACTIVA;cal1;;;01/05/2026;11:01;
sp_157;ACTIVA;cal1;;;01/05/2026;11:02;
sp_158;ACTIVA;cal1;;;12/30/2025;11:51;
sp_159;ACTIVA;cal1;;;01/05/2026;11:00;
sp_160;ACTIVA;cal1;;;01/02/2026;16:08;
sn_1002;ACTIVA;cal1;;;01/05/2026;11:04;
sn_1003;ACTIVA;cal1;;;01/05/2026;11:04;
sn_1004;ACTIVA;cal1;;;01/05/2026;11:05;
sn_1007;ACTIVA;cal1;;;01/05/2026;11:05;
sn_1008;ACTIVA;cal1;;;01/05/2026;11:04;
sn_1010;ACTIVA;cal1;;;01/05/2026;11:04;
sn_1012;ACTIVA;cal1;;;01/05/2026;11:05;
sn_1013;ACTIVA;cal1;;;12/30/2025;22:47;
sn_1014;ACTIVA;cal1;;;01/05/2026;11:04;
sn_1016;ACTIVA;cal1;;;01/05/2026;11:04;
sn_1018;ACTIVA;cal1;;;01/05/2026;11:05;
sn_1019;ACTIVA;cal1;;;01/05/2026;11:05;
sn_1021;ACTIVA;cal1;;;01/05/2026;11:05;
sn_1022;ACTIVA;cal1;;;01/05/2026;11:05;
sn_1023;ACTIVA;cal1;;;01/05/2026;11:05;
sn_1030;ACTIVA;cal1;;;01/05/2026;9:45;
sn_1031;ACTIVA;cal1;;;01/05/2026;11:05;
sn_1033;ACTIVA;cal1;;;01/05/2026;11:05;
sn_1034;ACTIVA;cal1;;;01/05/2026;11:05;
sn_1035;ACTIVA;cal1;;;01/05/2026;11:05;
sn_1036;ACTIVA;cal1;;;01/05/2026;11:05;
sn_1037;ACTIVA;cal1;;;01/05/2026;11:06;
sn_1038;ACTIVA;cal1;;;01/05/2026;11:06;
sn_1039;ACTIVA;cal1;;;01/05/2026;11:06;
sn_1040;ACTIVA;cal1;;;01/05/2026;11:06;
sn_1041;ACTIVA;cal1;;;01/03/2026;20:59;
sn_1042;ACTIVA;cal1;;;01/05/2026;9:04;
sn_1044;ACTIVA;cal1;;;01/05/2026;11:06;
sn_1045;ACTIVA;cal1;;;01/05/2026;11:06;
sn_1005;INACTIVA;cal2;5;48;11/18/2025;11:26;
sm_503;INACTIVA;cal2;0;20;12/16/2025;9:46;
sm_507;INACTIVA;cal2;0;46;11/19/2025;15:16;
sm_510;INACTIVA;cal2;0;16;12/19/2025;19:26;
sm_515;INACTIVA;cal2;0;9;12/27/2025;9:06;
sm_517;INACTIVA;cal2;0;315;02/24/2025;8:26;
sp_104;INACTIVA;cal1;;14;12/21/2025;12:31;
sp_106;INACTIVA;cal1;;55;11/11/2025;11:04;
sp_138;INACTIVA;cal1;;28;12/07/2025;22:36;
sp_147;INACTIVA;cal1;;73;10/23/2025;22:11;
sp_152;INACTIVA;cal1;;1064;02/06/2023;10:17;
sn_1001;INACTIVA;cal1;;29;12/07/2025;1:23;
sn_1009;INACTIVA;cal1;;32;12/03/2025;16:11;
sn_1011;INACTIVA;cal1;;69;10/28/2025;11:01;
sn_1015;INACTIVA;cal1;;662;03/14/2024;6:30;
sn_1032;INACTIVA;cal1;;469;09/22/2024;19:58;
sn_1043;INACTIVA;cal1;;17;12/18/2025;15:28;
