estacion_code;Estado_ultima_semana;calidad_ultima_reportada;dias_desde_ultima_cal1;dias_desde_ultima_actividad;fecha_ultima_actividad;hora_ultima_actividad
sn_1038;ACTIVA;cal2;7.0;2.0;11/11/2025;0:47:00
sp_160;ACTIVA;cal1;;0.0;13/11/2025;10:57:00
sp_159;ACTIVA;cal1;;0.0;13/11/2025;10:55:00
sp_157;ACTIVA;cal1;;0.0;13/11/2025;10:57:00
sp_156;ACTIVA;cal1;;0.0;13/11/2025;6:02:00
sp_154;ACTIVA;cal1;;0.0;12/11/2025;16:51:00
sp_151;ACTIVA;cal1;;0.0;13/11/2025;10:56:00
sp_150;ACTIVA;cal1;;0.0;13/11/2025;10:56:00
sp_149;ACTIVA;cal1;;0.0;13/11/2025;10:56:00
sp_146;ACTIVA;cal1;;0.0;13/11/2025;10:51:00
sp_145;ACTIVA;cal1;;0.0;13/11/2025;10:56:00
sp_144;ACTIVA;cal1;;0.0;13/11/2025;10:51:00
sp_143;ACTIVA;cal1;;0.0;13/11/2025;10:56:00
sp_142;ACTIVA;cal1;;0.0;13/11/2025;10:56:00
sp_141;ACTIVA;cal1;;0.0;13/11/2025;10:56:00
sp_140;ACTIVA;cal1;;0.0;13/11/2025;10:56:00
sp_139;ACTIVA;cal1;;0.0;13/11/2025;10:56:00
sp_138;ACTIVA;cal1;;0.0;13/11/2025;10:56:00
sp_137;ACTIVA;cal1;;0.0;13/11/2025;10:56:00
sp_136;ACTIVA;cal1;;0.0;13/11/2025;10:56:00
sp_135;ACTIVA;cal1;;0.0;13/11/2025;10:56:00
sp_134;ACTIVA;cal1;;0.0;13/11/2025;10:56:00
sp_133;ACTIVA;cal1;;0.0;13/11/2025;10:56:00
sp_132;ACTIVA;cal1;;0.0;13/11/2025;10:56:00
sp_131;ACTIVA;cal1;;0.0;13/11/2025;10:21:00
sp_109;ACTIVA;cal1;;0.0;13/11/2025;10:56:00
sp_108;ACTIVA;cal1;;0.0;13/11/2025;10:56:00
sp_103;ACTIVA;cal1;;0.0;13/11/2025;10:56:00
sp_102;ACTIVA;cal1;;0.0;13/11/2025;10:56:00
sp_101;ACTIVA;cal1;;0.0;13/11/2025;10:56:00
sn_1045;ACTIVA;cal1;;0.0;13/11/2025;11:01:00
sn_1043;ACTIVA;cal1;;0.0;13/11/2025;9:17:00
sn_1041;ACTIVA;cal1;;0.0;12/11/2025;13:34:00
sn_1040;ACTIVA;cal1;;0.0;13/11/2025;11:00:00
sn_1039;ACTIVA;cal1;;0.0;13/11/2025;7:54:00
sn_1037;ACTIVA;cal1;;0.0;13/11/2025;11:00:00
sn_1036;ACTIVA;cal1;;0.0;13/11/2025;11:00:00
sn_1035;ACTIVA;cal1;;0.0;13/11/2025;11:00:00
sn_1034;ACTIVA;cal1;;0.0;13/11/2025;11:00:00
sn_1033;ACTIVA;cal1;;0.0;13/11/2025;11:00:00
sn_1031;ACTIVA;cal1;;0.0;13/11/2025;11:00:00
sn_1030;ACTIVA;cal1;;0.0;13/11/2025;11:00:00
sn_1022;ACTIVA;cal1;;0.0;12/11/2025;16:53:00
sn_1021;ACTIVA;cal1;;0.0;13/11/2025;11:00:00
sn_1019;ACTIVA;cal1;;0.0;13/11/2025;10:59:00
sn_1018;ACTIVA;cal1;;0.0;13/11/2025;10:59:00
sn_1016;ACTIVA;cal1;;0.0;13/11/2025;11:00:00
sn_1014;ACTIVA;cal1;;0.0;13/11/2025;10:59:00
sn_1013;ACTIVA;cal1;;0.0;13/11/2025;10:59:00
sn_1010;ACTIVA;cal1;;0.0;13/11/2025;10:59:00
sn_1009;ACTIVA;cal1;;0.0;13/11/2025;10:59:00
sn_1008;ACTIVA;cal1;;0.0;13/11/2025;10:59:00
sn_1007;ACTIVA;cal1;;0.0;13/11/2025;10:59:00
sn_1005;ACTIVA;cal1;;0.0;13/11/2025;11:00:00
sn_1004;ACTIVA;cal1;;0.0;13/11/2025;10:59:00
sn_1003;ACTIVA;cal1;;0.0;13/11/2025;4:08:00
sn_1002;ACTIVA;cal1;;0.0;13/11/2025;10:59:00
sn_1001;ACTIVA;cal1;;0.0;13/11/2025;10:59:00
sm_516;ACTIVA;cal1;;0.0;13/11/2025;11:01:00
sm_515;ACTIVA;cal1;;0.0;13/11/2025;10:56:00
sm_514;ACTIVA;cal1;;0.0;13/11/2025;10:58:00
sm_513;ACTIVA;cal1;;0.0;13/11/2025;11:01:00
sm_512;ACTIVA;cal1;;0.0;13/11/2025;11:01:00
sm_511;ACTIVA;cal1;;0.0;13/11/2025;10:56:00
sm_510;ACTIVA;cal1;;0.0;13/11/2025;11:01:00
sm_509;ACTIVA;cal1;;0.0;13/11/2025;11:01:00
sm_508;ACTIVA;cal1;;0.0;13/11/2025;11:01:00
sm_507;ACTIVA;cal1;;0.0;13/11/2025;11:01:00
sm_506;ACTIVA;cal1;;0.0;13/11/2025;11:01:00
sm_505;ACTIVA;cal1;;0.0;13/11/2025;11:01:00
sm_504;ACTIVA;cal1;;0.0;13/11/2025;11:01:00
sm_503;ACTIVA;cal1;;0.0;13/11/2025;11:01:00
sm_502;ACTIVA;cal1;;0.0;13/11/2025;11:01:00
sm_501;ACTIVA;cal1;;0.0;13/11/2025;11:01:00
sp_106;ACTIVA;cal1;;1.0;11/11/2025;11:04:00
sp_104;ACTIVA;cal1;;1.0;12/11/2025;10:21:00
sn_1044;ACTIVA;cal1;;2.0;11/11/2025;9:46:00
sn_1012;ACTIVA;cal1;;5.0;7/11/2025;11:31:00
sp_155;INACTIVA;cal1;;9.0;3/11/2025;15:26:00
sn_1011;INACTIVA;cal1;;16.0;28/10/2025;11:01:00
sp_147;INACTIVA;cal1;;20.0;23/10/2025;22:11:00
